OBJECTID,gsid,formal_name,district,station_id,year,month,days,rainfallsum
3637717,346,Thamachit,Rasuwa,1054,1987,2,27,0
3637718,346,Thamachit,Rasuwa,1054,1987,2,28,0
3637719,346,Thamachit,Rasuwa,1054,1987,3,1,0
3637720,346,Thamachit,Rasuwa,1054,1987,3,2,0
3637721,346,Thamachit,Rasuwa,1054,1987,3,3,0
3637722,346,Thamachit,Rasuwa,1054,1987,3,4,0
3637723,346,Thamachit,Rasuwa,1054,1987,3,5,0
3637724,346,Thamachit,Rasuwa,1054,1987,3,6,0
3637725,346,Thamachit,Rasuwa,1054,1987,3,7,3
3637726,346,Thamachit,Rasuwa,1054,1987,3,8,0.2
3637727,346,Thamachit,Rasuwa,1054,1987,3,9,0
3637728,346,Thamachit,Rasuwa,1054,1987,3,10,0
3637729,346,Thamachit,Rasuwa,1054,1987,3,11,0
3637730,346,Thamachit,Rasuwa,1054,1987,3,12,0
3637731,346,Thamachit,Rasuwa,1054,1987,3,13,0
3637732,346,Thamachit,Rasuwa,1054,1987,3,14,0
3637733,346,Thamachit,Rasuwa,1054,1987,3,15,0
3637734,346,Thamachit,Rasuwa,1054,1987,3,16,0
3637735,346,Thamachit,Rasuwa,1054,1987,3,17,0
3637736,346,Thamachit,Rasuwa,1054,1987,3,18,0
3637737,346,Thamachit,Rasuwa,1054,1987,3,19,0
3637738,346,Thamachit,Rasuwa,1054,1987,3,20,0
